CODIGO TITULO MIDIA PRECO GENERO
CL80373 HOUSE_OF_CARDS_?_2O._TEMPORADA_(4_DVDÔS)_(IDIOMA_INGLES) BOX 109.9 DRAMA
PA79278 I_CARLY__O_PRIMEIRO_BEIJO DVD-S 39.99 COMEDIA
LU79642 IMAGENS_DO_VELHO_MUNDO_(IDIOMA_TCHECO) DVD-S 39.9 DOCUMENTARIO
MG79375 INATIVIDADE_PARANORMAL_2 DVD-S 99.9 COMEDIA
MG79383 INATIVIDADE_PARANORMAL_2_ BLU-R 89.9 COMEDIA
MG79715 JOBS SELL 34.9 DRAMA
MG79723 JOBS__ BLU-R 54.9 DRAMA
LK79120 JOGOS_VORAZES_EM_CHAMAS SELL 39.9 ACAO
LK79138 JOGOS_VORAZES_EM_CHAMAS__ BLU-R 69.9 ACAO
IF79804 JULIO_SUMIU DVD-S 49.9 COMEDIA
IF79812 JULIO_SUMIU__ BLU-R 89.9 COMEDIA
CA79995 JUSTICA_CEGA DVD-S 79.9 ACAO
LK79081 JUSTIN_BIEBER'S__BELIEVE DVD-S 79.9 DOCUMENTARIO
FO80471 KUNG_FU_PANDA_LENDAS_DO_DRAGAO_GUERREIRO_VOL._3 DVD-S 24.9 ANIMACAO
CA79944 LIGADOS_PELO_AMOR SELL 39.9 COMEDIA
CA79952 LIGADOS_PELO_AMOR__ BLU-R 39.9 COMEDIA
IM80942 LUNCHBOX_(IDIOMA_INGLES) DVD-S 94.9 DRAMA
CL80306 LUTANDO_POR_UMA_CHANCE DVD-S 44.9 ACAO
IM80951 MAIS_QUE_MEL_(IDIOMA_ALEMAO) SELL 39.9 DOCUMENTARIO
CL80365 MANDELA_O_CAMINHO_PARA_A_LIBERDADE DVD-S 44.9 DRAMA
CL80331 MASTERS_OF_SEX__1O._TEMPORADA_(4_DVDÔS)_(IDIOMA_INGLES) BOX 89.9 DRAMA
WB80861 MIKE_&_MOLLY__4O._TEMPORADA_(3_DVDÔS) BOX 109.9 COMEDIA
UN79332 MONSTER_HIGH__CHOQUES_DE_CULTURA_E_FUGA_DA_ILHA_DO_ESQUELETO DVD-S 44.99 INFANTIL
BV80462 NEED_FOR_SPEED__O_FILME DVD-S 119.9 ACAO
BV80756 NEED_FOR_SPEED__O_FILME_(COMBO) DV+BD 139.9 ACAO
BV80764 NEED_FOR_SPEED__O_FILME_(SOMENTE_EM_3D) BLU-R 99.9 ACAO
UN79316 NEGOCIOS_MORTAIS DVD-S 99.99 ACAO
UN79324 NEGOCIOS_MORTAIS_ BLU-R 99.99 ACAO
CA79987 NINFOMANIACA_VOL._I SELL 39.9 DRAMA
CA80039 NINFOMANIACA_VOL._II DVD-S 39.9 DRAMA
MG79740 NOIVOS_POR_ACASO SELL 29.9 COMEDIA
CT80853 O_8O._HOMEM__O_POLICIAL_DO_FUTURO_VOL._1_(4_DVD'S)_(IDIOMA_JAPONES) BOX 79.9 ANIMACAO
MG79421 O_BRILHO_DA_VIDA_ DVD-S 29.9 GOSPEL
VE53775 O_CINEMA_DE_OZU_(3_DVD'S)_(IDIOMA_JAPONES) BOX 49.9 DRAMA
VE80446 O_CINEMA_DE_OZU_VOL._2_(3_DVDÔS)_(IDIOMA_JAPONES) BOX 69.9 DRAMA
CA80047 O_GRANDE_MESTRE_ DVD-S 105.9 ACAO
CA80055 O_GRANDE_MESTRE_ BLU-R 89.9 ACAO
UN79294 O_HOMEM_DO_TAI_CHI_ DVD-S 99.99 ACAO
UN79308 O_HOMEM_DO_TAI_CHI_ BLU-R 99.99 ACAO
EV80179 O_HOMEM_QUE_RI_(IDIOMA_FRANCES) SELL 29.9 DRAMA
VV80101 O_MESTRE_DA_GUERRA_2_ DVD-S 89.9 ACAO
VV80110 O_MESTRE_DA_GUERRA_2_(2D_E_3D) BLU-R 89.9 ACAO
VV80128 O_MESTRE_DA_GUERRA_2_(COMBO) DV+BD 119.9 ACAO
VE80730 O_SAMURAI__EDICAO_DEFINITIVA_(IDIOMA_FRANCES) DVD-S 39.9 POLICIAL
VV80152 O_SEGREDO_DA_BORBOLETA_ SELL 39.9 SUSPENSE
FH79537 PERSEGUICAO_IMPLACAVEL DVD-S 89.9 ACAO
FH79545 PERSEGUICAO_IMPLACAVEL_ BLU-R 89.9 ACAO
FH79553 PERSEGUICAO_IMPLACAVEL_(COMBO) DV+BD 119.9 ACAO
WB80284 POWER_RANGERS_SAMURAI_?_TEMPORADA_19_VOL._2 DVD-S 39.9 DESENHO
FC80080 QUANDO_CHAMA_O_CORACAO SELL 29.9 ROMANCE
PA79243 RAGNAROK SELL 39.99 AVENTURA
PA79251 RAGNAROK__ BLU-R 69.99 AVENTURA
MG79685 REC_3__GENESIS SELL 34.9 SUSPENSE
MG79693 REC_3__GENESIS__ BLU-R 54.9 SUSPENSE
